"","X[[i]]","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","X.2b7c7b4f.4d4f.40d3.94de.c28b6fa054a6.","installationKey","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","genericName","taxonRank","taxonomicStatus","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","catalogNumber","institutionCode","gbifID","collectionCode","name","publishingCountry","organismQuantity","organismQuantityType","sampleSizeUnit","sampleSizeValue","relativeOrganismQuantity","identificationReferences","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","dynamicProperties","locality","eventRemarks","materialSampleID","occurrenceID","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","http...rs.tdwg.org.dwc.terms.organismQuantityType","identificationRemarks","speciesKey","species","specificEpithet","depth","depthAccuracy","modified","references","created","associatedSequences","higherClassification","taxonID","individualCount","stateProvince","typeStatus","higherGeography","verbatimEventDate","institutionID","georeferenceProtocol","endDayOfYear","verbatimCoordinateSystem","datasetName","type","preparations","recordedBy","startDayOfYear","identifiedBy","continent","waterBody","rightsHolder","municipality","language","verbatimLocality","locationID","ownerInstitutionCode","accessRights","elevation","elevationAccuracy","typifiedName","fieldNumber","acceptedNameUsage","nomenclaturalCode","datasetID","collectionID","parentNameUsage","identificationID"
"169",NA,"1143305741","Filinia Bory de St.Vincent, 1824",-21.485599,-48.061901,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:22.101+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:22.101+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","61410008","6141",NA,"1143305741",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61410008",NA,NA,NA,NA,NA,NA,NA,NA,"2003-06-23T00:00:00.000+0000",NA,NA,NA,NA,"6003543",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Mogi-Guaçu","Public","Rincão","pt_BR","Lagoa das cabras","4758","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,"1143305750","Filinia Bory de St.Vincent, 1824",-19.984199,-49.3983,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:22.101+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:22.101+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","61380010","6138",NA,"1143305750",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61380010",NA,NA,NA,NA,NA,NA,NA,NA,"2003-06-23T00:00:00.000+0000",NA,NA,NA,NA,"6003543",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Mogi-Guaçu","Public","Santa Cruz da Conceição","pt_BR","Lago Urbano","4755","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,"1143305778","Filinia Bory de St.Vincent, 1824",-22.3419,-49.017799,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:22.102+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:22.102+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","62670005","6267",NA,"1143305778",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62670005",NA,NA,NA,NA,NA,NA,NA,NA,"2003-06-25T00:00:00.000+0000",NA,NA,NA,NA,"6003540",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Tietê/Jacaré","Public","Bauru","pt_BR","Represa do Zoológico","4773","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"1143305785","Filinia Bory de St.Vincent, 1824",-21.485599,-48.061901,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:20.550+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:20.550+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","61410009","6141",NA,"1143305785",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61410009",NA,NA,NA,NA,NA,NA,NA,NA,"2003-06-23T00:00:00.000+0000",NA,NA,NA,NA,"6003540",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Mogi-Guaçu","Public","Rincão","pt_BR","Lagoa das cabras","4758","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,"1143306106","Filinia Bory de St.Vincent, 1824",-22.4853,-46.518902,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:20.588+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:20.588+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","65770011","6577",NA,"1143306106",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65770011",NA,NA,NA,NA,NA,NA,NA,NA,"2003-07-02T00:00:00.000+0000",NA,NA,NA,NA,"6003540",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Alto Tietê","Public","Guarulhos","pt_BR","Pq Ecológico L2","4917","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,"1143306117","Filinia Bory de St.Vincent, 1824",-23.791401,-46.544701,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:20.552+0000",120,"none","UNKNOWN",1000456,1,91,307,1005,7517,1000456,1000456,"Filinia Bory de St.Vincent, 1824","Animalia","Rotifera","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:20.552+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","65720015","6572",NA,"1143306117",NA,"Filinia Bory de St.Vincent, 1824","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65720015",NA,NA,NA,NA,NA,NA,NA,NA,"2003-07-02T00:00:00.000+0000",NA,NA,NA,NA,"6003543",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Alto Tietê","Public","São Bernardo do Campo","pt_BR","Billings Estoril","4911","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,"1143305957","Ptygura Ehrenberg, 1832",-23.7181,-46.960602,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:22.083+0000",120,"none","UNKNOWN",1000491,1,91,307,1005,7520,1000491,1000491,"Ptygura Ehrenberg, 1832","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Ptygura","Ptygura","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:22.083+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","65630001","6563",NA,"1143305957",NA,"Ptygura Ehrenberg, 1832","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65630001",NA,NA,NA,NA,NA,NA,NA,NA,"2003-07-02T00:00:00.000+0000",NA,NA,NA,NA,"6004710",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Alto Tietê","Public","Cotia","pt_BR","Rep Pedro Breicht","4899","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,"1143305985","Ptygura Ehrenberg, 1832",-23.653601,-46.9678,"gass84,cdpi","e5080aa7-f479-41f0-bb89-278feafd3cda","b035747d-16a4-46e1-b599-599d43e1acc9",NA,"41af1a06-4411-437c-b83a-e5f326755d5a","DWC_ARCHIVE","2020-02-06T05:33:42.606+0000","2020-02-10T20:13:22.104+0000",120,"none","UNKNOWN",1000491,1,91,307,1005,7520,1000491,1000491,"Ptygura Ehrenberg, 1832","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Ptygura","Ptygura","GENUS","ACCEPTED",NA,NA,NA,NA,"2020-02-10T20:13:22.104+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","65640001","6564",NA,"1143305985",NA,"Ptygura Ehrenberg, 1832","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65640001",NA,NA,NA,NA,NA,NA,NA,NA,"2003-07-02T00:00:00.000+0000",NA,NA,NA,NA,"6004710",0,"Sp",NA,NA,NA,"155",NA,NA,NA,"SinBIOTA","Event",NA,"Takako Matsumura Tundisi",NA,NA,"SOUTH_AMERICA","Alto Tietê","Public","Cotia","pt_BR","Cachoeira das Graças","4900","Biota/FAPESP Program","Open Access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,"1437063817","Floscularia bifida Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:17.190+0000",87,"none","PRESERVED_SPECIMEN",4983797,1,91,307,1005,7520,1000533,4983797,"Floscularia bifida Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:17.190+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858202","RIR.087","RBINS","1437063817","RIR","Floscularia bifida Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858202",NA,NA,NA,4983797,"Floscularia bifida","bifida",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228170",1,"Sao Paulo","HOLOTYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia bifida Segers, 1997","28485/13FEV1996","Floscularia bifida Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658005"
"180",NA,"1437063832","Floscularia bifida Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:08.232+0000",87,"none","PRESERVED_SPECIMEN",4983797,1,91,307,1005,7520,1000533,4983797,"Floscularia bifida Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:08.232+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858203","RIR.088","RBINS","1437063832","RIR","Floscularia bifida Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858203",NA,NA,NA,4983797,"Floscularia bifida","bifida",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228170",1,"Sao Paulo","PARATYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia bifida Segers, 1997","28485/13FEV1996","Floscularia bifida Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658006"
"181",NA,"1437063840","Floscularia bifida Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:08.202+0000",87,"none","PRESERVED_SPECIMEN",4983797,1,91,307,1005,7520,1000533,4983797,"Floscularia bifida Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:08.202+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858204","RIR.089","RBINS","1437063840","RIR","Floscularia bifida Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858204",NA,NA,NA,4983797,"Floscularia bifida","bifida",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228170",1,"Sao Paulo","PARATYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia bifida Segers, 1997","28485/13FEV1996","Floscularia bifida Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658007"
"182",NA,"1437063852","Floscularia armata Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:16.981+0000",87,"none","PRESERVED_SPECIMEN",4983793,1,91,307,1005,7520,1000533,4983793,"Floscularia armata Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:16.981+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858205","RIR.090","RBINS","1437063852","RIR","Floscularia armata Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858205",NA,NA,NA,4983793,"Floscularia armata","armata",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228169",1,"Sao Paulo","HOLOTYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia armata Segers, 1997","28485/13FEV1996","Floscularia armata Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658008"
"183",NA,"1437063870","Floscularia armata Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:16.982+0000",87,"none","PRESERVED_SPECIMEN",4983793,1,91,307,1005,7520,1000533,4983793,"Floscularia armata Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:16.982+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858207","RIR.091","RBINS","1437063870","RIR","Floscularia armata Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858207",NA,NA,NA,4983793,"Floscularia armata","armata",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228169",1,"Sao Paulo","PARATYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia armata Segers, 1997","28485/13FEV1996","Floscularia armata Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658009"
"184",NA,"1437063879","Floscularia armata Segers, 1997",-22.19368,-47.88663,"","8138eb72-f762-11e1-a439-00145eb45e9a","e88c96a3-5884-4e51-a580-e417ca4c9eed",NA,"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","DWC_ARCHIVE","2020-02-20T19:31:11.973+0000","2020-02-26T14:26:16.867+0000",87,"none","PRESERVED_SPECIMEN",4983793,1,91,307,1005,7520,1000533,4983793,"Floscularia armata Segers, 1997","Animalia","Rotifera","Flosculariaceae","Flosculariidae","Floscularia","Floscularia","SPECIES","ACCEPTED",1996,2,13,"1996-02-13T00:00:00","2020-02-26T14:26:16.867+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Eurotatoria","BR","none","none","Brazil","urn:catalog:RBINS:RIR:858208","RIR.092","RBINS","1437063879","RIR","Floscularia armata Segers, 1997","BE",NA,NA,NA,NA,NA,NA,NA,"282133",NA,NA,NA,"general: collection date = 19/01/1996 in publication ; 13/02/1996 on slide",NA,"urn:catalog:RBINS:RIR:858208",NA,NA,NA,4983793,"Floscularia armata","armata",NA,NA,NA,NA,NA,NA,"Eucaryota | Animalia | Rotifera Cuvier, 1817 | Eurotatoria De Ridder, 1957 | Monogononta Plate, 1889 | Gnesiotrocha Kutikova, 1970 | Flosculariaceae Harring, 1913 | Flosculariidae Ehrenberg, 1838 | Floscularia Cuvier, 1798","228169",1,"Sao Paulo","PARATYPE",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:35271",NA,NA,NA,"Rotifera","PhysicalObject","specimen",NA,NA,NA,NA,NA,"Royal belgian Institute of natural Sciences",NA,"en",NA,"282133","RBINS",NA,707,0,"Floscularia armata Segers, 1997","28485/13FEV1996","Floscularia armata Segers, 1997","ICZN","RBINS_DaRWIN","http://grbio.org/cool/wt1g-5s4r","Floscularia Cuvier, 1798","1658010"
"185","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
